algorithm,difficulty,run,time_ms
sha256,2,0,0.1628
sha256,2,1,0.14550000000000002
sha256,2,2,0.1447
sha256,2,3,0.1437
sha256,2,4,0.1447
sha256,3,0,3.6186
sha256,3,1,3.6062
sha256,3,2,3.628
sha256,3,3,3.6037
sha256,3,4,3.6245000000000003
sha256,4,0,15.2958
sha256,4,1,19.4864
sha256,4,2,18.538
sha256,4,3,26.1134
sha256,4,4,19.8462
sha256,5,0,358.8501
sha256,5,1,319.3376
sha256,5,2,304.96250000000003
sha256,5,3,291.1586
sha256,5,4,313.1397
sha256chain,2,0,0.15860000000000002
sha256chain,2,1,0.157
sha256chain,2,2,0.15569999999999998
sha256chain,2,3,0.155
sha256chain,2,4,0.1554
sha256chain,3,0,9.4089
sha256chain,3,1,12.7004
sha256chain,3,2,12.4908
sha256chain,3,3,9.2975
sha256chain,3,4,9.3148
sha256chain,4,0,217.0617
sha256chain,4,1,341.7674
sha256chain,4,2,409.3074
sha256chain,4,3,241.2335
sha256chain,4,4,212.464
sha256chain,5,0,1470.785
sha256chain,5,1,1432.3425
sha256chain,5,2,1446.0664
sha256chain,5,3,1676.1503
sha256chain,5,4,1479.7433
